Y;in_transit_qty;forecast_3_month;sales_1_month;sales_3_month;min_bank;potential_issue;pieces_past_due;local_bo_qty;deck_risk;oe_constraint;ppap_risk;stop_auto_buy;rev_stop
1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;0;0;0;0;2;0;0;0;0;0;0;1;0
1;0;4;0;0;0;0;0;0;0;0;0;1;0
1;0;11;2;2;0;0;0;0;0;0;0;1;0
1;0;9;0;0;1;0;0;0;0;0;0;1;0
1;0;10;0;0;0;0;0;0;1;0;0;1;0
1;0;2;0;1;1;0;0;0;0;0;0;1;0
1;0;22;0;0;1;0;0;0;0;0;0;1;0
1;0;16;9;21;0;0;0;0;0;0;0;1;0
1;0;25;11;22;0;0;0;0;0;0;0;1;0
1;0;6;1;3;2;0;0;0;0;0;0;0;0
1;0;3;0;0;0;0;0;0;0;0;0;1;0
1;0;6;1;3;1;0;0;0;0;0;1;1;0
1;0;0;5;7;0;0;0;0;0;0;0;1;0
1;0;14;8;16;0;0;2;0;0;0;0;1;0
1;0;88;12;32;15;0;0;0;0;0;1;1;0
1;0;6;0;0;0;0;0;0;0;0;0;1;0
1;0;30;9;29;3;0;0;0;0;0;1;0;0
1;0;4;2;4;0;0;0;0;0;0;0;1;0
1;1;200;49;151;29;0;0;0;0;0;0;1;0
1;0;11;3;6;0;0;0;0;0;0;0;1;0
1;33;684;170;573;176;0;0;0;0;0;1;1;0
1;0;5;0;4;2;0;0;0;0;0;0;1;0
1;0;387;6;13;0;0;0;0;1;0;0;0;0
1;3;48;15;36;5;0;0;0;0;0;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;1;0
1;0;0;0;0;1;0;0;0;0;0;0;1;0
1;0;92;0;0;14;0;0;0;0;0;1;1;0
1;1;16;1;4;2;0;0;0;0;0;0;1;0
1;0;0;1;1;1;0;0;0;0;0;0;1;0
1;0;6;3;6;2;0;0;0;0;0;0;1;0
1;0;13;1;5;0;0;0;1;0;0;0;1;0
1;0;0;2;2;0;0;0;0;0;0;0;1;0
1;2;49;12;36;12;0;0;0;0;0;0;1;0
1;0;14;5;11;0;0;0;0;0;0;0;1;0
1;0;8;0;0;0;0;0;0;0;0;0;1;0
1;0;1200;0;0;959;0;0;0;0;0;0;0;0
1;0;14;6;14;4;0;0;0;0;0;0;1;0
1;523;1198;652;1076;462;0;0;0;0;0;0;1;0
1;1;2;1;2;0;0;0;0;0;0;0;1;0
1;0;4;1;3;0;0;0;0;0;0;0;1;0
1;0;62;27;57;10;0;0;0;0;0;0;1;0
1;0;72;12;65;32;0;0;0;0;0;0;1;0
1;0;88;17;50;23;0;0;0;0;0;0;1;0
1;0;72;42;56;0;0;0;0;1;0;0;1;0
1;0;215;1;14;45;0;0;102;0;0;0;1;0
1;0;68;4;18;27;0;0;0;1;0;1;1;0
1;0;25;10;27;0;0;5;0;0;0;0;1;0
1;0;24;22;27;2;0;2;0;0;0;0;1;0
1;0;59;4;13;2;0;1;19;0;0;0;1;0
1;12;280;62;219;67;0;20;0;0;0;0;1;0
1;0;19;1;9;2;0;1;0;0;0;0;1;0
1;0;16;1;5;2;0;4;0;0;0;0;1;0
1;380;10164;1916;5211;1606;0;800;1;0;0;0;1;0
1;0;19;0;0;0;0;14;0;0;0;0;1;0
1;7;330;64;233;78;0;14;0;0;0;0;1;0
1;78;2249;461;1882;447;0;232;14;0;0;1;1;0
1;0;294;43;201;70;0;21;0;0;0;0;1;0
1;1;53;3;26;17;0;3;0;0;0;0;1;0
1;3;636;87;376;207;0;13;10;0;0;1;1;0
1;0;488;85;268;89;0;40;5;0;0;0;1;0
1;0;69;14;47;11;0;5;0;0;0;0;1;0
1;18;2556;530;1641;155;0;108;0;0;0;0;1;0
1;0;468;93;340;104;0;54;0;0;0;0;1;0
1;0;8;0;0;0;0;1;0;1;0;1;1;0
1;50;2662;609;1841;387;0;90;1;0;0;1;1;0
